abstention_fraction,any_committed_coverage_failure,any_false_safe,any_local_false_safe,any_local_risk_violation,any_mean_risk_violation,any_pathwise_budget_violation,any_reported_coverage_failure,audit_cost_ms,audit_cost_ms_per_round,audit_fraction,audits,certificate_available_rounds,committed_catastrophes,committed_loss,delta,epsilon,exact_actions,fast_commit_fraction,fast_commits,fast_selective_risk,final_committed_upper,final_reported_upper,first_reset_round,intended_loss,intended_selective_risk,intended_weight,labels_observed,matched_exact_ms,matched_exact_tokens_per_second,max_local_intended_risk,max_pending_labels,policy,proposals,reset_cost_ms,reset_cost_ms_per_round,reset_reasons,reset_rounds,reset_shadow_actions,resets,rounds,saved_ms_per_round,seed,startup_budget,support_abstentions,throughput_reward_tokens_per_second,throughput_tokens_per_second,total_ms
0.6793333333333333,False,False,False,False,False,False,False,700739.1045385711,58.39492537821426,0.057916666666666665,695,3848,0,27.937686511127772,0.05,0.06,5752,0.26275,3153,0.00886066809740811,83.080690619601,0.022687788686915154,4200,26.370877542200372,0.008357486163923913,3155.3600000001693,695,8429270.36887737,1.423610760464691,0.015221832393735915,2,anytime_random_audit,3848,2075146.0609119472,172.92883840932893,['traffic_epoch_change_point'],[4200],2400,1,12000,71.73533884367882,20261840,60.0,0,0.1619194157399919,1.585530176204683,7568446.302753224
0.3883333333333333,False,True,True,True,True,False,True,1455540.7046364879,121.29505871970733,0.12341666666666666,1481,7340,279,363.6873232023764,0.05,0.06,4660,0.48825,5859,0.062073275849526606,inf,0.060211588909638285,,367.35994821985423,0.06256129908375425,5872.000000000787,1481,8758553.101415029,1.370089312818265,0.15522297000742852,3,importance_weighted_nominal,7340,0.0,0.0,[],[],0,0,12000,198.22531980320423,20261840,60.0,0,0.5108328694867994,1.8809221823050644,6379849.263776578
0.30316666666666664,False,True,True,True,True,True,True,0.0,0.0,0.0,0,8362,533,667.868216059233,0.05,0.06,3638,0.6968333333333333,8362,0.07986943507046555,inf,0.009111786215248142,,667.868216059233,0.07986943507046555,8362.0,0,8910704.925717724,1.346694801369314,0.23983847391768376,0,naive_calibration,8362,0.0,0.0,[],[],0,0,12000,326.07076038479846,20261840,60.0,0,1.0543348556605114,2.4010296570298255,4997855.801100143
0.3284166666666667,False,True,True,True,True,True,True,0.0,0.0,0.0,0,8059,490,609.6475788963239,0.05,0.06,3941,0.6715833333333333,8059,0.07564804304458667,inf,-0.005379163238342882,,609.6475788963239,0.07564804304458667,8059.0,0,8874359.849429965,1.3522102104943161,0.2243774694288899,0,split_conformal,8059,0.0,0.0,[],[],0,0,12000,313.6578175940009,20261840,60.0,0,0.9959122327549537,2.3481224432492698,5110466.038301954
0.66275,False,False,False,False,False,False,False,776264.2056506668,64.68868380422224,0.06408333333333334,769,4047,0,22.45497793448582,0.05,0.06,5553,0.27316666666666667,3278,0.006850206813449,92.46472681672303,0.024134592271316025,4200,22.683615752623467,0.0068354203211719875,3318.540000000202,769,8445770.781558981,1.420829467240757,0.011334736407432036,2,anytime_random_audit,4047,2101472.2158986535,175.12268465822112,['traffic_epoch_change_point'],[4200],2400,1,12000,74.6251562498842,20262849,60.0,0,0.16851789886077229,1.5893473661015294,7550268.906560371
0.5635,False,False,True,True,False,False,True,1035714.5441508776,86.30954534590647,0.08716666666666667,1046,5238,171,225.70795323528571,0.05,0.06,6762,0.34933333333333333,4192,0.053842546096203654,inf,0.0601931354174874,,238.1924907082892,0.05684242332671492,4190.400000000404,1046,8559228.422769388,1.4019955312884769,0.22685860611795663,3,importance_weighted_nominal,5238,0.0,0.0,[],[],0,0,12000,142.27673738063174,20262849,60.0,0,0.349341577399523,1.7513371086879999,6851907.574201807
0.3145833333333333,False,True,True,True,True,True,True,0.0,0.0,0.0,0,8225,592,724.528113802002,0.05,0.06,3775,0.6854166666666667,8225,0.08808852447440754,inf,0.009111786215248142,,724.528113802002,0.08808852447440754,8225.0,0,8889731.191286664,1.3498720874442063,0.24663261308596754,0,naive_calibration,8225,0.0,0.0,[],[],0,0,12000,320.29002148630565,20262849,60.0,0,1.0281309405965573,2.3780030280407636,5046250.933450997
0.3234166666666667,False,True,True,True,True,True,True,0.0,0.0,0.0,0,8119,530,640.846539369008,0.05,0.06,3881,0.6765833333333333,8119,0.07893170826074739,inf,-0.005379163238342882,,640.846539369008,0.07893170826074739,8119.0,0,8885840.51793642,1.3504631301650674,0.21594270377949717,0,split_conformal,8119,0.0,0.0,[],[],0,0,12000,316.3154793631104,20262849,60.0,0,1.0070753547150184,2.3575384848800858,5090054.765579095
0.6800833333333334,False,False,False,False,False,False,False,666992.3282510814,55.58269402092345,0.05525,663,3839,1,26.251995417458673,0.05,0.06,5761,0.26466666666666666,3176,0.008265741630182202,92.99358018002664,0.02559479755679304,4200,25.8438113075319,0.00820964914247566,3147.980000000168,663,8458441.455275102,1.4187010767233257,0.0120935163067177,2,anytime_random_audit,3839,2098389.613626636,174.865801135553,['traffic_epoch_change_point'],[4200],2400,1,12000,72.99524432697582,20263858,60.0,0,0.1638907250481192,1.5825918017714449,7582498.523351392
0.49,False,True,True,True,True,True,True,1203216.7292483451,100.26806077069543,0.10208333333333333,1225,6120,285,361.1988824975317,0.05,0.06,5880,0.40791666666666665,4895,0.07378935291062956,inf,0.06031078721792897,,354.6887244578316,0.07244459241376444,4896.000000000565,1225,8666047.254511664,1.38471435102695,0.21949675145034783,3,importance_weighted_nominal,6120,0.0,0.0,[],[],0,0,12000,166.22947909187067,20263858,60.0,0,0.4140372689205407,1.7987516199474907,6671293.505409216
0.3304166666666667,False,True,True,True,True,True,True,0.0,0.0,0.0,0,8035,597,731.6486986939816,0.05,0.06,3965,0.6695833333333333,8035,0.09105770985612714,inf,0.009111786215248142,,731.6486986939816,0.09105770985612714,8035.0,0,8903313.02125541,1.3478128839625974,0.23281353869040933,0,naive_calibration,8035,0.0,0.0,[],[],0,0,12000,313.2060968776879,20263858,60.0,0,0.9846212305130588,2.332434114475656,5144839.858723154
0.3561666666666667,False,True,True,True,True,True,True,0.0,0.0,0.0,0,7726,535,652.9373580168384,0.05,0.06,4274,0.6438333333333334,7726,0.08451169531670184,inf,-0.005379163238342882,,652.9373580168384,0.08451169531670184,7726.0,0,8866827.858706981,1.3533588551870137,0.19265216040647462,0,split_conformal,7726,0.0,0.0,[],[],0,0,12000,300.4198375356171,20263858,60.0,0,0.9272339539589654,2.280592809145979,5261789.808279576
0.6715833333333333,False,False,False,False,False,False,False,712719.5373103708,59.393294775864234,0.058333333333333334,700,3941,2,28.11332774898328,0.05,0.06,5659,0.27008333333333334,3241,0.008674275763339487,104.22960835476404,0.028097552501324098,4200,28.38526251759394,0.008783601573697501,3231.6200000001845,700,8421146.440018749,1.4249841260299094,0.015312593268662699,2,anytime_random_audit,3941,2070755.331097028,172.56294425808568,['traffic_epoch_change_point'],[4200],2400,1,12000,76.05064056388754,20264867,60.0,0,0.17319634481104607,1.5981804708409555,7508538.753252098
0.4375833333333333,False,True,True,True,True,False,True,1307359.137698692,108.94659480822433,0.11025,1323,6749,249,326.65653549213505,0.05,0.06,5251,0.45216666666666666,5426,0.060202089106549034,inf,0.060553744544139136,,332.799989940911,0.06163875943489205,5399.200000000679,1323,8695148.246363405,1.3800799779369826,0.1576198422385307,3,importance_weighted_nominal,6749,0.0,0.0,[],[],0,0,12000,184.86705026826044,20264867,60.0,0,0.4727029421809321,1.8527829201179147,6476743.64314428
0.29108333333333336,False,True,True,True,True,True,True,0.0,0.0,0.0,0,8507,490,623.0742818200919,0.05,0.06,3493,0.7089166666666666,8507,0.0732425392994113,inf,0.009111786215248142,,623.0742818200919,0.0732425392994113,8507.0,0,8918169.029945264,1.3455676787137159,0.16190274130310295,0,naive_calibration,8507,0.0,0.0,[],[],0,0,12000,332.1081449687501,20264867,60.0,0,1.0870925902755668,2.4326602689892827,4932871.290320262
0.3025,False,True,True,True,True,True,True,0.0,0.0,0.0,0,8370,481,610.8010804238697,0.05,0.06,3630,0.6975,8370,0.07297503947716484,inf,-0.005379163238342882,,610.8010804238697,0.07297503947716484,8370.0,0,8891543.494304286,1.3495969521699935,0.1670693890000937,0,split_conformal,8370,0.0,0.0,[],[],0,0,12000,326.245320405124,20264867,60.0,0,1.061688030608071,2.4112849827780645,4976599.649442798
0.6678333333333333,False,False,False,False,False,False,False,727193.7841863786,60.59948201553155,0.060333333333333336,724,3986,2,25.804480801338382,0.05,0.06,5614,0.2718333333333333,3262,0.007910631760066948,92.88002076290368,0.024619328570708584,4200,25.466825051453643,0.007791546342519595,3268.520000000192,724,8440846.838245086,1.4216583039545931,0.01526667111031429,2,anytime_random_audit,3986,2092497.1833266893,174.3747652772241,['traffic_epoch_change_point'],[4200],2400,1,12000,74.94195421347511,20265876,60.0,0,0.1695279271818646,1.5911862311364577,7541543.387683385
0.49391666666666667,False,True,True,True,True,False,True,1178122.217015337,98.17685141794475,0.09966666666666667,1196,6073,228,294.92314025934144,0.05,0.06,5927,0.40641666666666665,4877,0.06047224528590146,inf,0.06052518047213801,,301.4962696492602,0.06205669966433923,4858.400000000556,1196,8631982.011558544,1.390178986000151,0.18987051576608524,4,importance_weighted_nominal,6073,0.0,0.0,[],[],0,0,12000,165.98973415205347,20265876,60.0,0,0.417021297041523,1.807200283041674,6640105.201733902
0.30433333333333334,False,True,True,True,True,True,True,0.0,0.0,0.0,0,8348,561,693.4464032896215,0.05,0.06,3652,0.6956666666666667,8348,0.08306736982386458,inf,0.009111786215248142,,693.4464032896215,0.08306736982386458,8348.0,0,8898883.279384091,1.3484838067041758,0.20040025572258305,0,naive_calibration,8348,0.0,0.0,[],[],0,0,12000,325.2957510658739,20265876,60.0,0,1.0537578371133831,2.402241643817559,4995334.266593604
