family,side_information,beta,normalized_distortion,rate_bits_per_probe_scalar
slowly_drifting,coordinate+route+prior-logit,30.0,3.6956443597839754e-08,1.1173942508285684
slowly_drifting,coordinate+route+prior-logit,inf,0.0,1.117395945120471
route_only_adversary,coordinate-only,0.0,1.142578125,0.0
route_only_adversary,coordinate-only,0.1,1.129917206613308,0.0018354975583613853
route_only_adversary,coordinate-only,0.3,0.9189983196440874,0.0758766953254007
route_only_adversary,coordinate-only,1.0,0.39858516310866254,0.5015332359638601
route_only_adversary,coordinate-only,3.0,0.11909487181591114,1.181074797001025
route_only_adversary,coordinate-only,10.0,0.002837175190370379,1.9824104604248816
route_only_adversary,coordinate-only,30.0,3.7107837737876964e-08,2.030637360996906
route_only_adversary,coordinate-only,inf,0.0,2.0306390622295662
route_only_adversary,coordinate+route,0.0,1.142578125,0.0
route_only_adversary,coordinate+route,0.1,1.129917206613308,0.0018354975583613853
route_only_adversary,coordinate+route,0.3,0.9189983196440874,0.0758766953254007
route_only_adversary,coordinate+route,1.0,0.39858516310866254,0.5015332359638601
route_only_adversary,coordinate+route,3.0,0.11909487181591114,1.181074797001025
route_only_adversary,coordinate+route,10.0,0.002837175190370379,1.9824104604248816
route_only_adversary,coordinate+route,30.0,3.7107837737876964e-08,2.030637360996906
route_only_adversary,coordinate+route,inf,0.0,2.0306390622295662
route_only_adversary,coordinate+route+prior-logit,0.0,1.142578125,0.0
route_only_adversary,coordinate+route+prior-logit,0.1,1.129917206613308,0.0018354975583613853
route_only_adversary,coordinate+route+prior-logit,0.3,0.9189983196440874,0.0758766953254007
route_only_adversary,coordinate+route+prior-logit,1.0,0.39858516310866254,0.5015332359638601
route_only_adversary,coordinate+route+prior-logit,3.0,0.11909487181591114,1.181074797001025
route_only_adversary,coordinate+route+prior-logit,10.0,0.002837175190370379,1.9824104604248816
route_only_adversary,coordinate+route+prior-logit,30.0,3.7107837737876964e-08,2.030637360996906
route_only_adversary,coordinate+route+prior-logit,inf,0.0,2.0306390622295662
