family,normalized_distortion,rate_coordinate-only_bits,rate_coordinate+route_bits,rate_coordinate+route+prior-logit_bits
independent_random,0.25,1.0096119753569668,0.7379139558015309,0.13155410117425903
independent_random,0.1,1.620387323619029,1.2803945179003415,0.47525990609863306
independent_random,0.01,2.251172965045802,1.915449569572391,1.137187355814644
exact_shared_basis,0.25,0.0,0.0,0.0
exact_shared_basis,0.1,0.0,0.0,0.0
exact_shared_basis,0.01,0.0,0.0,0.0
shared_basis_sparse_residual,0.25,0.4607058382905143,0.1804136090902627,0.0037947701452804546
shared_basis_sparse_residual,0.1,0.8101654388960154,0.4112137077801057,0.12345005256278252
shared_basis_sparse_residual,0.01,1.5288503950168226,0.8457931667713601,0.5349638737984334
slowly_drifting,0.25,0.9905477496988055,0.6452930598116124,0.13389332100042117
slowly_drifting,0.1,1.603413065573592,1.139557000663147,0.4069104537338708
slowly_drifting,0.01,2.235106697781032,1.7769238466510964,1.0162041713629968
route_only_adversary,0.25,0.8627972828071251,0.8627972828071251,0.8627972828071251
route_only_adversary,0.1,1.312691044516074,1.312691044516074,1.312691044516074
route_only_adversary,0.01,1.9330388735328667,1.9330388735328667,1.9330388735328667
