scenario,policy,action,count,fraction_of_action_starts
distribution_shift,exact_joint,k4_d4_exact_fp8_pf1,179,0.02564837369250609
distribution_shift,exact_joint,k8_d2_approx_fp8_pf0,1818,0.2604957730333859
distribution_shift,exact_joint,k8_d2_approx_fp8_pf1,272,0.03897406505229976
distribution_shift,exact_joint,k8_d2_exact_bf16_pf0,31,0.004441897119931222
distribution_shift,exact_joint,k8_d2_exact_fp8_pf0,339,0.04857429431150594
distribution_shift,exact_joint,k8_d2_exact_fp8_pf1,25,0.0035821750967187276
distribution_shift,exact_joint,measure_exact_metric,979,0.14027797678750537
distribution_shift,independent_thresholds,k4_d2_approx_fp8_pf0,64,0.010666666666666666
distribution_shift,independent_thresholds,k4_d2_approx_fp8_pf1,26,0.004333333333333333
distribution_shift,independent_thresholds,k4_d4_approx_fp8_pf0,2093,0.34883333333333333
distribution_shift,independent_thresholds,k4_d4_approx_fp8_pf1,941,0.15683333333333332
distribution_shift,independent_thresholds,k8_d2_approx_fp8_pf0,40,0.006666666666666667
distribution_shift,independent_thresholds,k8_d2_approx_fp8_pf1,12,0.002
distribution_shift,independent_thresholds,k8_d2_exact_bf16_pf0,1563,0.2605
distribution_shift,independent_thresholds,k8_d2_exact_bf16_pf1,594,0.099
distribution_shift,independent_thresholds,k8_d2_exact_fp8_pf0,117,0.0195
distribution_shift,independent_thresholds,k8_d2_exact_fp8_pf1,38,0.006333333333333333
distribution_shift,independent_thresholds,k8_d4_exact_fp8_pf0,425,0.07083333333333333
distribution_shift,independent_thresholds,k8_d4_exact_fp8_pf1,87,0.0145
distribution_shift,myopic_voi,k4_d2_approx_fp8_pf0,2381,0.37337305943233495
distribution_shift,myopic_voi,k4_d2_approx_fp8_pf1,1882,0.2951230986357221
distribution_shift,myopic_voi,k4_d4_exact_fp8_pf0,473,0.07417280853065705
distribution_shift,myopic_voi,k4_d4_exact_fp8_pf1,1264,0.19821232554492707
distribution_shift,myopic_voi,measure_exact_metric,377,0.05911870785635879
distribution_shift,primal_dual_joint,k4_d2_approx_bf16_pf0,30,0.005
distribution_shift,primal_dual_joint,k4_d2_approx_bf16_pf1,19,0.0031666666666666666
distribution_shift,primal_dual_joint,k4_d2_approx_fp8_pf0,591,0.0985
distribution_shift,primal_dual_joint,k4_d2_approx_fp8_pf1,339,0.0565
distribution_shift,primal_dual_joint,k4_d2_exact_bf16_pf0,33,0.0055
distribution_shift,primal_dual_joint,k4_d2_exact_bf16_pf1,22,0.0036666666666666666
distribution_shift,primal_dual_joint,k4_d2_exact_fp8_pf0,5,0.0008333333333333334
distribution_shift,primal_dual_joint,k4_d2_exact_fp8_pf1,1,0.00016666666666666666
distribution_shift,primal_dual_joint,k4_d4_exact_bf16_pf0,492,0.082
distribution_shift,primal_dual_joint,k4_d4_exact_bf16_pf1,322,0.05366666666666667
distribution_shift,primal_dual_joint,k4_d4_exact_fp8_pf0,1220,0.20333333333333334
distribution_shift,primal_dual_joint,k4_d4_exact_fp8_pf1,1030,0.17166666666666666
distribution_shift,primal_dual_joint,k8_d2_approx_fp8_pf0,28,0.004666666666666667
distribution_shift,primal_dual_joint,k8_d2_approx_fp8_pf1,24,0.004
distribution_shift,primal_dual_joint,k8_d2_exact_bf16_pf0,10,0.0016666666666666668
distribution_shift,primal_dual_joint,k8_d2_exact_bf16_pf1,8,0.0013333333333333333
distribution_shift,primal_dual_joint,k8_d4_approx_bf16_pf0,46,0.007666666666666666
distribution_shift,primal_dual_joint,k8_d4_approx_bf16_pf1,107,0.017833333333333333
distribution_shift,primal_dual_joint,k8_d4_approx_fp8_pf1,4,0.0006666666666666666
distribution_shift,primal_dual_joint,k8_d4_exact_bf16_pf0,946,0.15766666666666668
distribution_shift,primal_dual_joint,k8_d4_exact_bf16_pf1,658,0.10966666666666666
distribution_shift,primal_dual_joint,k8_d4_exact_fp8_pf0,37,0.006166666666666667
distribution_shift,primal_dual_joint,k8_d4_exact_fp8_pf1,28,0.004666666666666667
distribution_shift,robust_safe_joint,k4_d2_approx_fp8_pf1,153,0.022148233931673422
distribution_shift,robust_safe_joint,k4_d2_exact_bf16_pf1,31,0.004487550665894615
distribution_shift,robust_safe_joint,k4_d2_exact_fp8_pf0,115,0.016647365373480022
distribution_shift,robust_safe_joint,k4_d2_exact_fp8_pf1,193,0.027938621887666475
distribution_shift,robust_safe_joint,k4_d4_exact_fp8_pf0,2588,0.37463810075275045
distribution_shift,robust_safe_joint,k4_d4_exact_fp8_pf1,259,0.03749276201505501
distribution_shift,robust_safe_joint,k8_d2_approx_fp8_pf1,30,0.004342790966994789
distribution_shift,robust_safe_joint,k8_d2_exact_bf16_pf0,2474,0.3581354950781702
distribution_shift,robust_safe_joint,k8_d2_exact_fp8_pf0,157,0.022727272727272728
distribution_shift,robust_safe_joint,measure_exact_metric,908,0.13144180660104227
distribution_shift,safe_exact_fixed,k8_d2_exact_bf16_pf0,6000,1.0
interaction_trap,best_fixed,k4_d2_exact_bf16_pf1,6000,1.0
interaction_trap,exact_joint,k4_d2_approx_fp8_pf1,66,0.010067114093959731
interaction_trap,exact_joint,k4_d2_exact_bf16_pf1,36,0.005491153142159854
interaction_trap,exact_joint,k4_d2_exact_fp8_pf0,93,0.014185478950579622
interaction_trap,exact_joint,k4_d2_exact_fp8_pf1,174,0.026540573520439294
interaction_trap,exact_joint,k4_d4_exact_fp8_pf0,3278,0.5
interaction_trap,exact_joint,k4_d4_exact_fp8_pf1,195,0.029743746186699206
interaction_trap,exact_joint,k8_d2_approx_fp8_pf0,1555,0.23718730933496035
interaction_trap,exact_joint,k8_d2_approx_fp8_pf1,183,0.027913361805979257
interaction_trap,exact_joint,k8_d2_exact_bf16_pf0,43,0.006558877364246492
interaction_trap,exact_joint,k8_d2_exact_fp8_pf0,370,0.05643685173886516
interaction_trap,exact_joint,k8_d2_exact_fp8_pf1,7,0.0010677242220866383
interaction_trap,exact_joint,measure_exact_metric,556,0.0848078096400244
interaction_trap,independent_thresholds,k4_d2_approx_fp8_pf0,21,0.0035
interaction_trap,independent_thresholds,k4_d2_approx_fp8_pf1,9,0.0015
interaction_trap,independent_thresholds,k4_d4_approx_fp8_pf0,1927,0.32116666666666666
interaction_trap,independent_thresholds,k4_d4_approx_fp8_pf1,735,0.1225
interaction_trap,independent_thresholds,k8_d2_approx_fp8_pf0,8,0.0013333333333333333
interaction_trap,independent_thresholds,k8_d2_approx_fp8_pf1,5,0.0008333333333333334
interaction_trap,independent_thresholds,k8_d2_exact_bf16_pf0,2207,0.36783333333333335
interaction_trap,independent_thresholds,k8_d2_exact_bf16_pf1,637,0.10616666666666667
interaction_trap,independent_thresholds,k8_d2_exact_fp8_pf0,27,0.0045
interaction_trap,independent_thresholds,k8_d2_exact_fp8_pf1,9,0.0015
interaction_trap,independent_thresholds,k8_d4_exact_fp8_pf0,361,0.06016666666666667
interaction_trap,independent_thresholds,k8_d4_exact_fp8_pf1,54,0.009
interaction_trap,myopic_voi,k4_d2_approx_fp8_pf0,2514,0.4091796875
interaction_trap,myopic_voi,k4_d2_approx_fp8_pf1,2055,0.33447265625
interaction_trap,myopic_voi,k4_d4_exact_fp8_pf0,379,0.061686197916666664
interaction_trap,myopic_voi,k4_d4_exact_fp8_pf1,1052,0.17122395833333334
interaction_trap,myopic_voi,measure_exact_metric,144,0.0234375
interaction_trap,primal_dual_joint,k4_d2_approx_bf16_pf0,31,0.005166666666666667
interaction_trap,primal_dual_joint,k4_d2_approx_bf16_pf1,9,0.0015
interaction_trap,primal_dual_joint,k4_d2_approx_fp8_pf0,376,0.06266666666666666
interaction_trap,primal_dual_joint,k4_d2_approx_fp8_pf1,232,0.03866666666666667
interaction_trap,primal_dual_joint,k4_d2_exact_bf16_pf0,103,0.017166666666666667
interaction_trap,primal_dual_joint,k4_d2_exact_bf16_pf1,40,0.006666666666666667
interaction_trap,primal_dual_joint,k4_d2_exact_fp8_pf0,2,0.0003333333333333333
interaction_trap,primal_dual_joint,k4_d4_exact_bf16_pf0,306,0.051
interaction_trap,primal_dual_joint,k4_d4_exact_bf16_pf1,178,0.029666666666666668
interaction_trap,primal_dual_joint,k4_d4_exact_fp8_pf0,1469,0.24483333333333332
interaction_trap,primal_dual_joint,k4_d4_exact_fp8_pf1,1197,0.1995
interaction_trap,primal_dual_joint,k8_d2_approx_fp8_pf0,36,0.006
interaction_trap,primal_dual_joint,k8_d2_approx_fp8_pf1,29,0.004833333333333334
interaction_trap,primal_dual_joint,k8_d2_exact_bf16_pf0,4,0.0006666666666666666
interaction_trap,primal_dual_joint,k8_d2_exact_bf16_pf1,4,0.0006666666666666666
interaction_trap,primal_dual_joint,k8_d4_approx_bf16_pf0,184,0.030666666666666665
interaction_trap,primal_dual_joint,k8_d4_approx_bf16_pf1,180,0.03
interaction_trap,primal_dual_joint,k8_d4_exact_bf16_pf0,871,0.14516666666666667
interaction_trap,primal_dual_joint,k8_d4_exact_bf16_pf1,705,0.1175
interaction_trap,primal_dual_joint,k8_d4_exact_fp8_pf0,19,0.0031666666666666666
interaction_trap,primal_dual_joint,k8_d4_exact_fp8_pf1,25,0.004166666666666667
interaction_trap,robust_safe_joint,k4_d2_approx_fp8_pf1,113,0.017642466822794692
interaction_trap,robust_safe_joint,k4_d2_exact_bf16_pf1,19,0.002966432474629196
interaction_trap,robust_safe_joint,k4_d2_exact_fp8_pf0,127,0.019828259172521467
interaction_trap,robust_safe_joint,k4_d2_exact_fp8_pf1,212,0.03309914129586261
interaction_trap,robust_safe_joint,k4_d4_exact_fp8_pf0,3309,0.5166276346604215
interaction_trap,robust_safe_joint,k4_d4_exact_fp8_pf1,227,0.035441061670569866
interaction_trap,robust_safe_joint,k8_d2_approx_fp8_pf1,17,0.002654176424668228
interaction_trap,robust_safe_joint,k8_d2_exact_bf16_pf0,1773,0.27681498829039813
interaction_trap,robust_safe_joint,k8_d2_exact_fp8_pf0,203,0.03169398907103825
interaction_trap,robust_safe_joint,measure_exact_metric,405,0.06323185011709602
interaction_trap,safe_exact_fixed,k8_d2_exact_bf16_pf0,6000,1.0
