trial,model_seed,attack_numerator,attack_denominator,trajectory_kl,p_failure,q_failure,failure_increase,binary_upper
86,2054900455814576406,3,64,0.49719061448316987,0.047791821028736935,0.46478258044168985,0.41699075941295294,0.49778586008620385
96,742833136783116037,3,64,0.4993874018077966,0.04900467976825204,0.46546430439574504,0.416459624627493,0.5010046056341445
16,4578615535636952543,3,64,0.4991386294302586,0.04911086387305245,0.46552398838483955,0.4164131245117871,0.5010413561567391
152,1265950268646839586,3,64,0.4956569833935728,0.05064792425988579,0.46638793968468556,0.41574001542479977,0.5016262963528358
167,2108037211450648912,3,64,0.4997994096546313,0.051354965872715486,0.46678535381732605,0.41543038794461057,0.505063211554051
21,754979243648949243,3,64,0.49578468056027647,0.05178564834408281,0.4670274319322434,0.41524178358816055,0.5035429877159179
200,131480369806166655,3,64,0.49580533834873014,0.05360476385635197,0.46804992084995783,0.41444515699360585,0.5064791345281561
201,3972881832645401008,3,64,0.4953386282734825,0.05366628767557355,0.4680845021741812,0.4144182144986076,0.5063198413343944
1,445363681616962640,3,64,0.49972791255359517,0.05418486535784315,0.46837598445197964,0.4141911190941365,0.5095630271831061
29,3889480827254124418,3,64,0.487496683422055,0.054346478174603176,0.468466823825831,0.4141203456512278,0.5030574718575704
72,1918024981016756023,3,64,0.49285796024414447,0.05444613626241887,0.4685228396696105,0.4140767034071916,0.5061932063978397
228,148309596463651356,3,64,0.4875946267842355,0.05498259242008891,0.4688243710854869,0.413841778665398,0.504126753116051
192,170022697159211296,3,64,0.49602202563171643,0.055472332621215314,0.4690996443844246,0.41362731176320927,0.5095679885127242
141,1868549367539561170,3,64,0.49881847750462693,0.05586416529723064,0.4693198857963206,0.41345572049908996,0.5117223068029714
53,2128307065518415709,3,64,0.48429212221305745,0.05607260612026314,0.4694370462680513,0.4133644401477881,0.5040175685212324
188,1898829852554721858,3,64,0.49536037358939977,0.056095814766777,0.4694500913900875,0.4133542766233105,0.5101880679626281
195,2838797535986199477,3,64,0.4897045661065254,0.056185462612387424,0.46950048067433875,0.4133150180619513,0.5072060966387827
169,2508023605061485863,3,64,0.49835155084786265,0.05704195062702501,0.46998189567916704,0.41293994505214204,0.5133159259179665
101,17601097416231019,3,64,0.4988615143964953,0.05744932616461466,0.4702108734267174,0.41276154726210273,0.5142317444648339
191,340797615834491131,3,64,0.48102313682351355,0.05790099262439688,0.47046474622727125,0.41256375360287434,0.5050761521359983
