trace,layer,B8,B16,B28,B48,B57,B96
campaign,38,42.5000,55.4167,59.5833,75.0000,76.6667,81.6667
campaign,39,58.7500,73.7500,77.0833,91.6667,91.6667,94.1667
campaign,40,36.2500,53.7500,68.3333,78.3333,80.4167,88.3333
campaign,41,57.0833,82.9167,85.4167,88.3333,88.3333,91.6667
campaign,42,54.1667,87.9167,93.3333,98.7500,98.7500,98.7500
campaign,43,51.2500,73.7500,92.9167,97.0833,97.0833,97.0833
campaign,44,65.4167,85.8333,92.5000,97.0833,97.0833,97.0833
math,3,12.5000,14.5833,25.0000,31.2500,33.3333,47.9167
math,4,4.1667,6.2500,8.3333,10.4167,10.4167,22.9167
math,5,10.4167,16.6667,25.0000,29.1667,29.1667,43.7500
math,6,8.3333,8.3333,14.5833,20.8333,20.8333,35.4167
math,7,14.5833,27.0833,31.2500,41.6667,41.6667,47.9167
math,8,6.2500,8.3333,16.6667,22.9167,22.9167,33.3333
math,9,14.5833,18.7500,27.0833,41.6667,41.6667,47.9167
math,10,12.5000,16.6667,27.0833,37.5000,52.0833,56.2500
math,11,25.0000,31.2500,39.5833,50.0000,52.0833,56.2500
math,12,20.8333,31.2500,33.3333,37.5000,50.0000,58.3333
math,13,27.0833,37.5000,45.8333,52.0833,52.0833,52.0833
math,14,25.0000,39.5833,47.9167,47.9167,54.1667,62.5000
math,15,16.6667,25.0000,35.4167,35.4167,35.4167,45.8333
math,16,27.0833,35.4167,43.7500,43.7500,43.7500,54.1667
math,17,33.3333,45.8333,54.1667,54.1667,54.1667,66.6667
math,18,37.5000,39.5833,52.0833,56.2500,56.2500,66.6667
math,19,50.0000,68.7500,72.9167,77.0833,77.0833,91.6667
math,20,37.5000,52.0833,64.5833,66.6667,68.7500,72.9167
math,21,31.2500,37.5000,43.7500,43.7500,47.9167,54.1667
math,22,27.0833,35.4167,52.0833,54.1667,56.2500,60.4167
math,23,33.3333,50.0000,54.1667,56.2500,66.6667,75.0000
math,24,25.0000,33.3333,41.6667,45.8333,47.9167,54.1667
math,25,27.0833,29.1667,41.6667,43.7500,45.8333,56.2500
math,26,16.6667,20.8333,43.7500,45.8333,47.9167,64.5833
math,27,16.6667,27.0833,41.6667,43.7500,45.8333,58.3333
math,28,16.6667,31.2500,39.5833,45.8333,45.8333,52.0833
math,29,27.0833,27.0833,39.5833,41.6667,41.6667,58.3333
math,30,12.5000,20.8333,43.7500,47.9167,50.0000,52.0833
math,31,37.5000,45.8333,56.2500,62.5000,66.6667,75.0000
math,32,10.4167,18.7500,33.3333,37.5000,43.7500,58.3333
math,33,18.7500,25.0000,43.7500,43.7500,50.0000,56.2500
math,34,8.3333,18.7500,18.7500,22.9167,25.0000,37.5000
math,35,33.3333,33.3333,50.0000,62.5000,62.5000,72.9167
math,36,10.4167,14.5833,25.0000,33.3333,33.3333,47.9167
math,37,6.2500,18.7500,54.1667,60.4167,60.4167,64.5833
math,38,25.0000,33.3333,41.6667,47.9167,50.0000,56.2500
math,39,25.0000,43.7500,58.3333,66.6667,70.8333,72.9167
math,40,14.5833,18.7500,37.5000,41.6667,45.8333,58.3333
math,41,14.5833,25.0000,33.3333,41.6667,41.6667,47.9167
math,42,20.8333,20.8333,50.0000,56.2500,56.2500,68.7500
math,43,31.2500,45.8333,64.5833,66.6667,68.7500,75.0000
math,44,27.0833,31.2500,33.3333,50.0000,50.0000,62.5000
pooled,3,32.0513,60.2564,67.6282,74.6795,75.6410,81.7308
pooled,4,30.1282,63.7821,70.8333,73.3974,76.6026,79.1667
pooled,5,34.9359,60.5769,66.3462,75.0000,76.2821,79.1667
pooled,6,29.8077,58.0128,68.9103,72.4359,73.0769,77.2436
pooled,7,50.9615,66.6667,70.1923,74.0385,77.8846,82.6923
pooled,8,48.0769,65.3846,72.7564,74.3590,75.3205,77.8846
pooled,9,53.8462,69.5513,73.3974,75.6410,77.2436,80.4487
pooled,10,41.9872,73.3974,78.8462,82.6923,83.3333,88.4615
pooled,11,28.2051,49.0385,69.8718,75.3205,76.2821,82.3718
pooled,12,33.6538,47.1154,62.1795,73.0769,74.3590,78.8462
pooled,13,35.2564,50.0000,75.9615,81.0897,82.3718,85.5769
pooled,14,38.4615,53.8462,60.2564,66.3462,66.9872,81.7308
pooled,15,27.2436,38.4615,45.1923,60.2564,60.5769,77.2436
pooled,16,20.8333,33.3333,39.4231,50.6410,54.8077,68.9103
pooled,17,36.2179,48.3974,53.5256,59.2949,63.7821,77.8846
pooled,18,32.6923,50.3205,61.8590,72.4359,74.0385,80.4487
pooled,19,21.7949,39.1026,49.3590,59.9359,63.1410,72.1154
pooled,20,31.7308,45.5128,53.8462,75.3205,77.2436,81.7308
pooled,21,37.5000,50.3205,66.3462,75.3205,77.8846,79.8077
pooled,22,27.8846,38.7821,58.3333,63.7821,66.0256,85.2564
pooled,23,24.0385,41.9872,57.3718,66.9872,72.4359,83.6538
pooled,24,48.7179,57.3718,61.5385,69.8718,70.8333,76.9231
pooled,25,25.0000,43.5897,51.2821,59.6154,63.1410,75.9615
pooled,26,24.6795,37.5000,51.6026,60.2564,66.0256,79.1667
pooled,27,27.8846,33.9744,41.3462,54.8077,60.2564,73.3974
pooled,28,20.8333,35.8974,49.3590,65.3846,68.2692,76.2821
pooled,29,16.6667,36.2179,39.4231,48.0769,50.0000,68.9103
pooled,30,19.2308,29.1667,33.9744,44.2308,46.4744,56.4103
pooled,31,15.7051,22.4359,36.5385,47.4359,49.6795,66.6667
pooled,32,16.0256,19.8718,36.5385,45.5128,49.6795,58.9744
pooled,33,20.8333,30.1282,39.4231,49.6795,60.2564,69.2308
pooled,34,25.6410,35.5769,45.5128,50.3205,54.4872,58.0128
pooled,35,15.0641,34.9359,43.2692,54.4872,57.3718,80.7692
pooled,36,22.4359,33.3333,52.2436,61.5385,64.7436,71.4744
pooled,37,17.3077,33.3333,48.0769,61.5385,62.5000,76.2821
pooled,38,34.9359,44.2308,52.2436,64.7436,65.7051,74.3590
pooled,39,39.1026,58.0128,61.8590,76.6026,78.2051,90.7051
pooled,40,19.8718,42.3077,56.0897,69.2308,72.1154,77.8846
pooled,41,45.1923,66.3462,72.4359,75.0000,76.6026,81.7308
pooled,42,43.5897,69.5513,77.5641,83.6538,84.6154,91.3462
pooled,43,40.0641,58.9744,77.8846,81.7308,84.6154,90.3846
pooled,44,54.8077,72.4359,74.6795,81.4103,82.6923,89.1026
