accepted_histogram,accepted_per_round,bigram_repeat,case,dataset,distinct,distinct_ratio,draft_ms_per_round,empty_rounds,fallback_total_ms,gap_mean,gap_median,gap_n,gap_p25,gen_len,generated,hierarchy,hist_total,host_cache,kind,max_run,mode,ms_per_token,n_prompt_lines,odirect,path,prefetch,prompt_s,prompt_tokens,rounds,row_index,top1_share,top1_token,variant,verified_rounds,verify_k,verify_ms_per_verified_round,vram_cache
"{""2"": 1, ""3"": 2, ""5"": 1, ""6"": 2, ""7"": 1}",4.57,0.0,gsm8k-893-dflash,gsm8k,25,0.7812,17.6,0,0.0,0.5668,0.5668,1,0.5668,32,32,"[""9.669"", ""38.145"", ""0.27""]",7,"[""2432"", ""10583"", ""23.0"", ""32.063"", ""2425""]",dflash,1,dflash,625.6,1,"[""1.463"", ""34.356"", ""0.05""]",/var/lib/insignia/bench-results/s6-vramtier --samples 1 --generate 32 --verify-k 7/gsm8k-893-dflash.log,"[""887"", ""8408"", ""217"", ""7.805""]",36.758,76,7,893,0.0938,220,s6-vramtier --samples 1 --generate 32 --verify-k 7,7,7,2841.7,"[""0"", ""10583"", ""0.0"", ""0.000"", ""207""]"
,,0.0,gsm8k-893-scalar,gsm8k,25,0.7812,,,,7.5314,8.4061,32,3.2153,32,32,"[""9.669"", ""34.856"", ""0.30""]",,"[""2599"", ""10583"", ""24.6"", ""34.264"", ""2425""]",scalar,1,scalar,509.09,32,"[""1.463"", ""31.546"", ""0.05""]",/var/lib/insignia/bench-results/s6-vramtier --samples 1 --generate 32 --verify-k 7/gsm8k-893-scalar.log,"[""887"", ""8259"", ""226"", ""7.989""]",33.873,76,,893,0.0938,220,s6-vramtier --samples 1 --generate 32 --verify-k 7,,,,"[""0"", ""10583"", ""0.0"", ""0.000"", ""323""]"
"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 2, ""5"": 1, ""6"": 1, ""7"": 1}",2.91,0.0,math500-209-dflash,math500,25,0.7812,17.9,3,1662.0,5.1144,5.1144,1,5.1144,32,32,"[""9.814"", ""34.953"", ""0.30""]",11,"[""1892"", ""9113"", ""20.8"", ""24.943"", ""2425""]",dflash,1,dflash,837.8,1,"[""1.608"", ""31.417"", ""0.05""]",/var/lib/insignia/bench-results/s6-vramtier --samples 1 --generate 32 --verify-k 7/math500-209-dflash.log,"[""541"", ""7317"", ""159"", ""5.234""]",33.325,65,11,209,0.0625,14128,s6-vramtier --samples 1 --generate 32 --verify-k 7,8,7,3114.1,"[""0"", ""9113"", ""0.0"", ""0.000"", ""208""]"
,,0.0,math500-209-scalar,math500,25,0.7812,,,,6.6984,7.3186,32,2.3535,32,32,"[""9.814"", ""34.935"", ""0.30""]",,"[""1686"", ""9113"", ""18.5"", ""22.228"", ""2425""]",scalar,1,scalar,611.84,32,"[""1.608"", ""31.416"", ""0.05""]",/var/lib/insignia/bench-results/s6-vramtier --samples 1 --generate 32 --verify-k 7/math500-209-scalar.log,"[""541"", ""7514"", ""159"", ""5.115""]",33.291,65,,209,0.0625,14128,s6-vramtier --samples 1 --generate 32 --verify-k 7,,,,"[""0"", ""9113"", ""0.0"", ""0.000"", ""323""]"
"{""0"": 4, ""1"": 1, ""4"": 2, ""5"": 1, ""7"": 2}",3.2,0.0,math500-212-dflash,math500,20,0.625,17.3,4,2683.9,0.7795,0.7795,1,0.7795,32,32,"[""9.893"", ""45.255"", ""0.23""]",10,"[""2991"", ""12294"", ""24.3"", ""39.432"", ""2425""]",dflash,1,dflash,629.5,1,"[""1.688"", ""41.717"", ""0.04""]",/var/lib/insignia/bench-results/s6-vramtier --samples 1 --generate 32 --verify-k 7/math500-212-dflash.log,"[""930"", ""9665"", ""368"", ""8.741""]",44.569,91,10,212,0.1562,220,s6-vramtier --samples 1 --generate 32 --verify-k 7,6,7,2880.1,"[""0"", ""12294"", ""0.0"", ""0.000"", ""208""]"
,,0.0,math500-212-scalar,math500,20,0.625,,,,5.9949,6.2888,32,2.4971,32,32,"[""9.893"", ""45.324"", ""0.23""]",,"[""3111"", ""12294"", ""25.3"", ""41.014"", ""2425""]",scalar,1,scalar,598.28,32,"[""1.688"", ""41.705"", ""0.04""]",/var/lib/insignia/bench-results/s6-vramtier --samples 1 --generate 32 --verify-k 7/math500-212-scalar.log,"[""930"", ""9545"", ""369"", ""8.754""]",44.608,91,,212,0.1562,220,s6-vramtier --samples 1 --generate 32 --verify-k 7,,,,"[""0"", ""12294"", ""0.0"", ""0.000"", ""323""]"
"{""0"": 1, ""3"": 1}",2.0,0.0,gsm8k-895-dflash,gsm8k,4,1.0,25.6,1,2247.4,0.2944,0.2944,1,0.2944,4,4,"[""156.455"", ""101.143"", ""1.66""]",2,"[""396"", ""11641"", ""3.4"", ""5.221"", ""2425""]",dflash,1,dflash,1838.3,1,"[""148.250"", ""97.679"", ""1.63""]",/var/lib/insignia/bench-results/s6-baseline/gsm8k-895-dflash.log,,99.465,84,2,895,0.25,1986,s6-baseline,1,7,5054.3,
,,0.0,gsm8k-895-scalar,gsm8k,4,1.0,,,,6.9843,7.6311,4,6.5689,4,4,"[""156.455"", ""52.650"", ""3.19""]",,"[""396"", ""11641"", ""3.4"", ""5.221"", ""2425""]",scalar,1,scalar,634.5,4,"[""148.250"", ""42.396"", ""3.75""]",/var/lib/insignia/bench-results/s6-baseline/gsm8k-895-scalar.log,,43.831,84,,895,0.25,1986,s6-baseline,,,,
"{""0"": 3, ""1"": 1}",1.0,0.0,math500-162-dflash,math500,4,1.0,19.9,3,1134.6,5.8985,5.8985,1,5.8985,4,4,"[""155.954"", ""106.461"", ""1.57""]",4,"[""387"", ""11594"", ""3.3"", ""5.102"", ""2425""]",dflash,1,dflash,862.2,1,"[""147.749"", ""96.867"", ""1.64""]",/var/lib/insignia/bench-results/s6-baseline/math500-162-dflash.log,,98.584,78,4,162,0.25,1654,s6-baseline,1,7,2231.9,
,,0.0,math500-162-scalar,math500,4,1.0,,,,4.4357,5.8985,4,2.1756,4,4,"[""155.954"", ""100.780"", ""1.66""]",,"[""387"", ""11594"", ""3.3"", ""5.102"", ""2425""]",scalar,1,scalar,1669.75,4,"[""147.749"", ""97.653"", ""1.62""]",/var/lib/insignia/bench-results/s6-baseline/math500-162-scalar.log,,99.352,78,,162,0.25,1654,s6-baseline,,,,
"{""0"": 1, ""2"": 2, ""3"": 1, ""4"": 6}",3.2,0.0,gsm8k-1033-dflash,gsm8k,22,0.6875,17.8,1,957.7,3.0334,3.0334,1,3.0334,32,32,"[""161.241"", ""47.325"", ""3.66""]",10,"[""397"", ""12005"", ""3.3"", ""5.234"", ""2425""]",dflash,1,dflash,583.2,1,"[""153.035"", ""43.875"", ""3.75""]",/var/lib/insignia/bench-results/math/gsm8k-1033-dflash.log,,45.28,86,10,1033,0.125,220,math,9,4,1946.7,
,,0.0,gsm8k-1033-scalar,gsm8k,22,0.6875,,,,7.136,7.3574,32,4.9683,32,32,"[""161.241"", ""41.257"", ""4.20""]",,"[""397"", ""12005"", ""3.3"", ""5.234"", ""2425""]",scalar,1,scalar,509.03,32,"[""153.035"", ""37.706"", ""4.36""]",/var/lib/insignia/bench-results/math/gsm8k-1033-scalar.log,,39.087,86,,1033,0.125,220,math,,,,
"{""0"": 5, ""1"": 2, ""2"": 1, ""3"": 1, ""4"": 5}",2.29,0.0,gsm8k-108-dflash,gsm8k,21,0.6562,17.3,5,4072.0,0.3461,0.3461,1,0.3461,32,32,"[""198.221"", ""57.916"", ""3.67""]",14,"[""640"", ""15053"", ""4.3"", ""8.438"", ""2425""]",dflash,1,dflash,633.9,1,"[""190.015"", ""54.419"", ""3.75""]",/var/lib/insignia/bench-results/math/gsm8k-108-dflash.log,,56.199,106,14,108,0.1562,220,math,9,4,1774.0,
,,0.0,gsm8k-108-scalar,gsm8k,21,0.6562,,,,6.3534,8.0798,32,1.4691,32,32,"[""198.221"", ""52.190"", ""4.08""]",,"[""640"", ""15053"", ""4.3"", ""8.438"", ""2425""]",scalar,1,scalar,527.97,32,"[""190.015"", ""48.395"", ""4.22""]",/var/lib/insignia/bench-results/math/gsm8k-108-scalar.log,,50.068,106,,108,0.1562,220,math,,,,
"{""0"": 4, ""2"": 1, ""3"": 2, ""4"": 5}",2.67,0.0,gsm8k-1207-dflash,gsm8k,22,0.6875,17.8,4,2572.8,0.8789,0.8789,1,0.8789,32,32,"[""172.197"", ""44.265"", ""4.18""]",12,"[""490"", ""12929"", ""3.8"", ""6.460"", ""2425""]",dflash,1,dflash,507.8,1,"[""163.991"", ""40.637"", ""4.33""]",/var/lib/insignia/bench-results/math/gsm8k-1207-dflash.log,,42.136,97,12,1207,0.125,13,math,8,4,1681.7,
,,0.0,gsm8k-1207-scalar,gsm8k,22,0.6875,,,,7.3403,8.7865,32,2.1534,32,32,"[""172.197"", ""39.881"", ""4.64""]",,"[""490"", ""12929"", ""3.8"", ""6.460"", ""2425""]",scalar,1,scalar,523.38,32,"[""163.991"", ""36.771"", ""4.79""]",/var/lib/insignia/bench-results/math/gsm8k-1207-scalar.log,,38.224,97,,1207,0.125,13,math,,,,
"{""0"": 3, ""2"": 3, ""3"": 1, ""4"": 5}",2.67,0.0,gsm8k-151-dflash,gsm8k,16,0.5,18.2,3,2747.9,1.4693,1.4693,1,1.4693,32,32,"[""217.140"", ""63.357"", ""3.68""]",12,"[""729"", ""16577"", ""4.4"", ""9.611"", ""2425""]",dflash,1,dflash,770.5,1,"[""208.934"", ""59.960"", ""3.74""]",/var/lib/insignia/bench-results/math/gsm8k-151-dflash.log,,62.138,119,12,151,0.1875,220,math,9,4,2409.2,
,,0.0,gsm8k-151-scalar,gsm8k,16,0.5,,,,7.6643,7.8079,32,5.613,32,32,"[""217.140"", ""64.978"", ""3.59""]",,"[""729"", ""16577"", ""4.4"", ""9.611"", ""2425""]",scalar,1,scalar,1016.47,32,"[""208.934"", ""61.136"", ""3.67""]",/var/lib/insignia/bench-results/math/gsm8k-151-scalar.log,,66.332,119,,151,0.1875,220,math,,,,
"{""0"": 1, ""1"": 3, ""2"": 1, ""3"": 2, ""4"": 5}",2.67,0.0,gsm8k-2-dflash,gsm8k,23,0.7188,17.6,1,992.2,3.3269,3.3269,1,3.3269,32,32,"[""149.165"", ""43.105"", ""3.72""]",12,"[""310"", ""11002"", ""2.8"", ""4.087"", ""2425""]",dflash,1,dflash,683.9,1,"[""140.959"", ""39.900"", ""3.79""]",/var/lib/insignia/bench-results/math/gsm8k-2-dflash.log,,41.182,78,12,2,0.125,11,math,11,4,1879.5,
,,0.0,gsm8k-2-scalar,gsm8k,23,0.7188,,,,6.0702,4.4049,32,2.5741,32,32,"[""149.165"", ""37.757"", ""4.24""]",,"[""310"", ""11002"", ""2.8"", ""4.087"", ""2425""]",scalar,1,scalar,501.09,32,"[""140.959"", ""34.913"", ""4.34""]",/var/lib/insignia/bench-results/math/gsm8k-2-scalar.log,,36.161,78,,2,0.125,11,math,,,,
"{""0"": 2, ""1"": 2, ""2"": 2, ""4"": 6}",2.67,0.0,gsm8k-404-dflash,gsm8k,21,0.6562,17.8,2,1352.7,1.4257,1.4257,1,1.4257,32,32,"[""135.388"", ""39.725"", ""3.66""]",12,"[""256"", ""9903"", ""2.6"", ""3.375"", ""2425""]",dflash,1,dflash,678.4,1,"[""127.182"", ""36.169"", ""3.78""]",/var/lib/insignia/bench-results/math/gsm8k-404-dflash.log,,37.35,69,12,404,0.1875,220,math,10,4,2014.0,
,,0.0,gsm8k-404-scalar,gsm8k,21,0.6562,,,,8.2231,9.7834,32,5.3872,32,32,"[""135.388"", ""34.905"", ""4.16""]",,"[""256"", ""9903"", ""2.6"", ""3.375"", ""2425""]",scalar,1,scalar,562.03,32,"[""127.182"", ""31.422"", ""4.35""]",/var/lib/insignia/bench-results/math/gsm8k-404-scalar.log,,32.563,69,,404,0.1875,220,math,,,,
"{""0"": 2, ""2"": 1, ""3"": 4, ""4"": 4}",2.91,0.0,gsm8k-511-dflash,gsm8k,20,0.625,17.4,2,1257.4,1.0982,1.0982,1,1.0982,32,32,"[""120.609"", ""35.566"", ""3.64""]",11,"[""137"", ""8663"", ""1.6"", ""1.806"", ""2425""]",dflash,1,dflash,590.1,1,"[""112.403"", ""32.100"", ""3.76""]",/var/lib/insignia/bench-results/math/gsm8k-511-dflash.log,,33.155,64,11,511,0.125,13,math,9,4,1936.2,
,,0.0,gsm8k-511-scalar,gsm8k,20,0.625,,,,5.515,4.1271,32,1.7312,32,32,"[""120.609"", ""34.662"", ""3.74""]",,"[""137"", ""8663"", ""1.6"", ""1.806"", ""2425""]",scalar,1,scalar,581.03,32,"[""112.403"", ""31.385"", ""3.85""]",/var/lib/insignia/bench-results/math/gsm8k-511-scalar.log,,32.428,64,,511,0.125,13,math,,,,
"{""0"": 2, ""3"": 2, ""4"": 6}",3.2,0.0,gsm8k-537-dflash,gsm8k,20,0.625,17.7,2,1701.7,0.3267,0.3267,1,0.3267,32,32,"[""170.074"", ""49.519"", ""3.69""]",10,"[""383"", ""12661"", ""3.0"", ""5.049"", ""2425""]",dflash,1,dflash,574.4,1,"[""161.868"", ""46.042"", ""3.77""]",/var/lib/insignia/bench-results/math/gsm8k-537-dflash.log,,47.512,92,10,537,0.1875,220,math,8,4,2061.3,
,,0.0,gsm8k-537-scalar,gsm8k,20,0.625,,,,9.1091,9.9205,32,8.0705,32,32,"[""170.074"", ""50.887"", ""3.59""]",,"[""383"", ""12661"", ""3.0"", ""5.049"", ""2425""]",scalar,1,scalar,646.19,32,"[""161.868"", ""46.675"", ""3.72""]",/var/lib/insignia/bench-results/math/gsm8k-537-scalar.log,,48.185,92,,537,0.1875,220,math,,,,
"{""0"": 6, ""1"": 3, ""2"": 2, ""3"": 1, ""4"": 4}",2.0,0.0,gsm8k-636-dflash,gsm8k,20,0.625,16.9,6,2866.7,0.7144,0.7144,1,0.7144,32,32,"[""146.238"", ""34.134"", ""4.60""]",16,"[""274"", ""10744"", ""2.6"", ""3.612"", ""2425""]",dflash,1,dflash,564.3,1,"[""138.032"", ""30.528"", ""4.85""]",/var/lib/insignia/bench-results/math/gsm8k-636-dflash.log,,31.731,73,16,636,0.125,13,math,10,4,1491.3,
,,0.0,gsm8k-636-scalar,gsm8k,20,0.625,,,,4.9737,5.0636,32,1.0269,32,32,"[""146.238"", ""41.660"", ""3.77""]",,"[""274"", ""10744"", ""2.6"", ""3.612"", ""2425""]",scalar,1,scalar,515.5,32,"[""138.032"", ""38.834"", ""3.82""]",/var/lib/insignia/bench-results/math/gsm8k-636-scalar.log,,40.027,73,,636,0.125,13,math,,,,
"{""0"": 4, ""1"": 3, ""2"": 2, ""3"": 3, ""4"": 3}",2.13,0.0,gsm8k-756-dflash,gsm8k,24,0.75,16.8,4,2520.3,1.6918,1.6918,1,1.6918,32,32,"[""158.631"", ""46.311"", ""3.68""]",15,"[""349"", ""11759"", ""3.0"", ""4.601"", ""2425""]",dflash,1,dflash,692.9,1,"[""150.425"", ""42.823"", ""3.77""]",/var/lib/insignia/bench-results/math/gsm8k-756-dflash.log,,44.137,82,15,756,0.0938,13,math,11,4,1763.1,
,,0.0,gsm8k-756-scalar,gsm8k,24,0.75,,,,5.4378,5.0943,32,2.0158,32,32,"[""158.631"", ""46.660"", ""3.65""]",,"[""349"", ""11759"", ""3.0"", ""4.601"", ""2425""]",scalar,1,scalar,605.5,32,"[""150.425"", ""43.151"", ""3.74""]",/var/lib/insignia/bench-results/math/gsm8k-756-scalar.log,,44.468,82,,756,0.0938,13,math,,,,
,,0.0,math500-416-scalar,math500,21,0.6562,,,,7.468,7.832,32,5.699,32,32,"[""103.167"", ""31.744"", ""3.49""]",,"[""111"", ""7314"", ""1.5"", ""1.463"", ""2425""]",scalar,1,scalar,682.62,32,"[""94.962"", ""27.250"", ""3.74""]",/var/lib/insignia/bench-results/math/math500-416-scalar.log,,28.265,49,,416,0.0938,15928,math,,,,
